"Statistic Label","Year","Item","UNIT","VALUE"
"Consumption of Personal Income at Current Market Prices","1995","CP01 - Food and non-alcoholic beverages","Euro Million","4243"
"Consumption of Personal Income at Current Market Prices","1995","CP011 - Food","Euro Million","3862"
"Consumption of Personal Income at Current Market Prices","1995","CP012 - Non-alcoholic beverages","Euro Million","381"
"Consumption of Personal Income at Current Market Prices","1995","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","2183"
"Consumption of Personal Income at Current Market Prices","1995","CP021 - Alcoholic beverages","Euro Million","666"
"Consumption of Personal Income at Current Market Prices","1995","CP022 - Tobacco","Euro Million","1152"
"Consumption of Personal Income at Current Market Prices","1995","CP023 - Narcotics","Euro Million","365"
"Consumption of Personal Income at Current Market Prices","1995","CP03 - Clothing and footwear","Euro Million","2003"
"Consumption of Personal Income at Current Market Prices","1995","CP031 - Clothing","Euro Million","1619"
"Consumption of Personal Income at Current Market Prices","1995","CP032 - Footwear","Euro Million","385"
"Consumption of Personal Income at Current Market Prices","1995","CP04 - Housing, water, electricity, gas and other fuels","Euro Million","4368"
"Consumption of Personal Income at Current Market Prices","1995","CP041 - Actual rentals for housing","Euro Million","418"
"Consumption of Personal Income at Current Market Prices","1995","CP042 - Imputed rentals for housing","Euro Million","2722"
"Consumption of Personal Income at Current Market Prices","1995","CP043 - Maintenance and repair of the dwelling","Euro Million","110"
"Consumption of Personal Income at Current Market Prices","1995","CP044 - Water supply and miscellaneous services relating to the dwelling","Euro Million","23"
"Consumption of Personal Income at Current Market Prices","1995","CP045 - Electricity, gas and other fuels","Euro Million","1095"
"Consumption of Personal Income at Current Market Prices","1995","CP05 - Furnishings, household equipment and routine household maintenance","Euro Million","1943"
"Consumption of Personal Income at Current Market Prices","1995","CP051 - Furniture and furnishings, carpets and other floor coverings","Euro Million","527"
"Consumption of Personal Income at Current Market Prices","1995","CP052 - Household textiles","Euro Million","189"
"Consumption of Personal Income at Current Market Prices","1995","CP053 - Household appliances","Euro Million","267"
"Consumption of Personal Income at Current Market Prices","1995","CP054 - Glassware, tableware and household utensils","Euro Million","251"
"Consumption of Personal Income at Current Market Prices","1995","CP055 - Tools and equipment for house and garden","Euro Million","13"
"Consumption of Personal Income at Current Market Prices","1995","CP056 - Goods and services for routine household maintenance","Euro Million","697"
"Consumption of Personal Income at Current Market Prices","1995","CP06 - Health","Euro Million","750"
"Consumption of Personal Income at Current Market Prices","1995","CP061 - Medical products, appliances and equipment","Euro Million","194"
"Consumption of Personal Income at Current Market Prices","1995","CP062 - Out-patient services","Euro Million","220"
"Consumption of Personal Income at Current Market Prices","1995","CP063 - Hospital services","Euro Million","336"
"Consumption of Personal Income at Current Market Prices","1995","CP07 - Transport","Euro Million","3025"
"Consumption of Personal Income at Current Market Prices","1995","CP071 - Purchase of vehicles","Euro Million","1031"
"Consumption of Personal Income at Current Market Prices","1995","CP072 - Operation of personal transport equipment","Euro Million","1303"
"Consumption of Personal Income at Current Market Prices","1995","CP073 - Transport services","Euro Million","691"
"Consumption of Personal Income at Current Market Prices","1995","CP08 - Communications","Euro Million","511"
"Consumption of Personal Income at Current Market Prices","1995","CP081 - Postal services","Euro Million","39"
"Consumption of Personal Income at Current Market Prices","1995","CP082 - Telephone and telefax equipment","Euro Million","0"
"Consumption of Personal Income at Current Market Prices","1995","CP083 - Telephone and telefax services","Euro Million","472"
"Consumption of Personal Income at Current Market Prices","1995","CP09 - Recreation and culture","Euro Million","2256"
"Consumption of Personal Income at Current Market Prices","1995","CP091 - Audio-visual, photographic and information processing equipment","Euro Million","221"
"Consumption of Personal Income at Current Market Prices","1995","CP092 - Other major durables for recreation and culture","Euro Million","11"
"Consumption of Personal Income at Current Market Prices","1995","CP093 - Other recreational items and equipment, gardens and pets","Euro Million","483"
"Consumption of Personal Income at Current Market Prices","1995","CP094 - Recreational and cultural services","Euro Million","942"
"Consumption of Personal Income at Current Market Prices","1995","CP095 - Newspapers, books and stationery","Euro Million","486"
"Consumption of Personal Income at Current Market Prices","1995","CP096 - Package holidays","Euro Million","113"
"Consumption of Personal Income at Current Market Prices","1995","CP10 - Education","Euro Million","638"
"Consumption of Personal Income at Current Market Prices","1995","CP101 - Pre-primary and primary education","Euro Million","34"
"Consumption of Personal Income at Current Market Prices","1995","CP102 - Secondary education","Euro Million","54"
"Consumption of Personal Income at Current Market Prices","1995","CP103 - Post-secondary non-tertiary education","Euro Million","13"
"Consumption of Personal Income at Current Market Prices","1995","CP104 - Tertiary education","Euro Million","453"
"Consumption of Personal Income at Current Market Prices","1995","CP105 - Education not definable by level","Euro Million","84"
"Consumption of Personal Income at Current Market Prices","1995","CP11 - Restaurants and hotels","Euro Million","4018"
"Consumption of Personal Income at Current Market Prices","1995","CP111 - Catering services","Euro Million","3644"
"Consumption of Personal Income at Current Market Prices","1995","CP112 - Accommodation services","Euro Million","374"
"Consumption of Personal Income at Current Market Prices","1995","CP12 - Miscellaneous goods and services","Euro Million","2544"
"Consumption of Personal Income at Current Market Prices","1995","CP121 - Personal care","Euro Million","677"
"Consumption of Personal Income at Current Market Prices","1995","CP123 - Personal effects n.e.c.","Euro Million","206"
"Consumption of Personal Income at Current Market Prices","1995","CP124 - Social protection","Euro Million","186"
"Consumption of Personal Income at Current Market Prices","1995","CP125 - Insurance","Euro Million","658"
"Consumption of Personal Income at Current Market Prices","1995","CP126 - Financial services n.e.c.","Euro Million","616"
"Consumption of Personal Income at Current Market Prices","1995","CP127 - Other services n.e.c.","Euro Million","156"
"Consumption of Personal Income at Current Market Prices","1995","Households Expenditure on Goods and Services in Ireland","Euro Million","28482"
"Consumption of Personal Income at Current Market Prices","1995","Total Expenditure of Households (National Concept)","Euro Million","28016"
"Consumption of Personal Income at Current Market Prices","1995","CP13 - Expenditure of NPISH on goods and services provided to households (P31)","Euro Million","682"
"Consumption of Personal Income at Current Market Prices","1995","CP14 - General Government expenditure on goods and services provided to Households","Euro Million","453"
"Consumption of Personal Income at Current Market Prices","1995","CP141 - Government - Housing","Euro Million","0"
"Consumption of Personal Income at Current Market Prices","1995","CP142 - Government - Health","Euro Million","287"
"Consumption of Personal Income at Current Market Prices","1995","CP143 - Government - Recreation & Culture","Euro Million","0"
"Consumption of Personal Income at Current Market Prices","1995","CP144 - Government - Education","Euro Million","50"
"Consumption of Personal Income at Current Market Prices","1995","CP145 - Government - Social Protection","Euro Million","117"
"Consumption of Personal Income at Current Market Prices","1995","Expenditure outside the State","Euro Million","1293"
"Consumption of Personal Income at Current Market Prices","1995","Expenditure by non-residents","Euro Million","1759"
"Consumption of Personal Income at Current Market Prices","1995","158. Personal consumption of goods and services at current market prices","Euro Million","29151"
"Consumption of Personal Income at Current Market Prices","1995","159. Taxes on personal income and wealth","Euro Million","7971"
"Consumption of Personal Income at Current Market Prices","1995","160. Total personal expenditure","Euro Million","37122"
"Consumption of Personal Income at Current Market Prices","1995","160.1 General Government expenditure on goods and services provided to Households (= Social transfers in kind via non-market production by Government D631)","Euro Million","5354"
"Consumption of Personal Income at Current Market Prices","1995","160.2 Actual Individual Consumption at current market prices (= items 158 + 160.1)","Euro Million","34505"
"Consumption of Personal Income at Current Market Prices","1996","CP01 - Food and non-alcoholic beverages","Euro Million","4506"
"Consumption of Personal Income at Current Market Prices","1996","CP011 - Food","Euro Million","4127"
"Consumption of Personal Income at Current Market Prices","1996","CP012 - Non-alcoholic beverages","Euro Million","379"
"Consumption of Personal Income at Current Market Prices","1996","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","2388"
"Consumption of Personal Income at Current Market Prices","1996","CP021 - Alcoholic beverages","Euro Million","755"
"Consumption of Personal Income at Current Market Prices","1996","CP022 - Tobacco","Euro Million","1235"
"Consumption of Personal Income at Current Market Prices","1996","CP023 - Narcotics","Euro Million","398"
"Consumption of Personal Income at Current Market Prices","1996","CP03 - Clothing and footwear","Euro Million","2177"
"Consumption of Personal Income at Current Market Prices","1996","CP031 - Clothing","Euro Million","1764"
"Consumption of Personal Income at Current Market Prices","1996","CP032 - Footwear","Euro Million","413"
"Consumption of Personal Income at Current Market Prices","1996","CP04 - Housing, water, electricity, gas and other fuels","Euro Million","4871"
"Consumption of Personal Income at Current Market Prices","1996","CP041 - Actual rentals for housing","Euro Million","481"
"Consumption of Personal Income at Current Market Prices","1996","CP042 - Imputed rentals for housing","Euro Million","3096"
"Consumption of Personal Income at Current Market Prices","1996","CP043 - Maintenance and repair of the dwelling","Euro Million","123"
"Consumption of Personal Income at Current Market Prices","1996","CP044 - Water supply and miscellaneous services relating to the dwelling","Euro Million","25"
"Consumption of Personal Income at Current Market Prices","1996","CP045 - Electricity, gas and other fuels","Euro Million","1147"
"Consumption of Personal Income at Current Market Prices","1996","CP05 - Furnishings, household equipment and routine household maintenance","Euro Million","2228"
"Consumption of Personal Income at Current Market Prices","1996","CP051 - Furniture and furnishings, carpets and other floor coverings","Euro Million","601"
"Consumption of Personal Income at Current Market Prices","1996","CP052 - Household textiles","Euro Million","199"
"Consumption of Personal Income at Current Market Prices","1996","CP053 - Household appliances","Euro Million","321"
"Consumption of Personal Income at Current Market Prices","1996","CP054 - Glassware, tableware and household utensils","Euro Million","319"
"Consumption of Personal Income at Current Market Prices","1996","CP055 - Tools and equipment for house and garden","Euro Million","13"
"Consumption of Personal Income at Current Market Prices","1996","CP056 - Goods and services for routine household maintenance","Euro Million","775"
"Consumption of Personal Income at Current Market Prices","1996","CP06 - Health","Euro Million","819"
"Consumption of Personal Income at Current Market Prices","1996","CP061 - Medical products, appliances and equipment","Euro Million","224"
"Consumption of Personal Income at Current Market Prices","1996","CP062 - Out-patient services","Euro Million","232"
"Consumption of Personal Income at Current Market Prices","1996","CP063 - Hospital services","Euro Million","364"
"Consumption of Personal Income at Current Market Prices","1996","CP07 - Transport","Euro Million","3425"
"Consumption of Personal Income at Current Market Prices","1996","CP071 - Purchase of vehicles","Euro Million","1318"
"Consumption of Personal Income at Current Market Prices","1996","CP072 - Operation of personal transport equipment","Euro Million","1377"
"Consumption of Personal Income at Current Market Prices","1996","CP073 - Transport services","Euro Million","730"
